iter	Passed	Remaining
423	2119	2879
424	2123	2872
425	2129	2868
426	2133	2863
427	2138	2857
428	2143	2853
429	2148	2848
430	2153	2842
431	2158	2837
432	2163	2832
433	2168	2827
434	2173	2822
435	2178	2817
436	2183	2812
437	2188	2807
438	2193	2803
439	2197	2797
440	2202	2791
441	2207	2787
442	2212	2782
443	2217	2777
444	2223	2773
445	2228	2768
446	2233	2762
447	2238	2757
448	2243	2753
449	2247	2747
450	2252	2741
451	2257	2736
452	2262	2732
453	2267	2726
454	2273	2722
455	2277	2717
456	2282	2712
457	2287	2707
458	2292	2702
459	2296	2696
460	2301	2691
461	2306	2685
462	2311	2681
463	2316	2675
464	2321	2670
465	2326	2665
466	2330	2660
467	2336	2655
468	2340	2650
469	2345	2644
470	2350	2639
471	2355	2634
472	2359	2628
473	2363	2623
474	2369	2618
475	2374	2614
476	2379	2608
477	2384	2603
478	2388	2598
479	2393	2592
480	2398	2587
481	2402	2581
482	2406	2575
483	2410	2569
484	2415	2565
485	2420	2559
486	2423	2553
487	2428	2548
488	2433	2543
489	2438	2537
490	2444	2533
491	2449	2528
492	2453	2522
493	2457	2517
494	2462	2512
495	2467	2507
496	2471	2501
497	2476	2496
498	2481	2491
499	2485	2485
500	2489	2480
501	2494	2475
502	2500	2470
503	2504	2464
504	2509	2459
505	2513	2454
506	2518	2448
507	2522	2443
508	2527	2437
509	2532	2432
510	2536	2427
511	2541	2422
512	2546	2417
513	2551	2412
514	2555	2406
515	2560	2402
516	2565	2397
517	2571	2392
518	2576	2387
519	2580	2381
520	2584	2375
521	2589	2371
522	2593	2365
523	2598	2360
524	2603	2355
525	2608	2350
526	2612	2344
527	2616	2339
528	2622	2334
529	2627	2329
530	2631	2324
531	2637	2320
532	2642	2315
533	2647	2310
534	2651	2304
535	2657	2300
536	2662	2295
537	2667	2290
538	2672	2285
539	2676	2279
540	2680	2274
541	2685	2269
542	2690	2264
543	2694	2258
544	2700	2254
545	2706	2250
546	2710	2244
547	2715	2239
548	2720	2234
549	2724	2229
550	2728	2223
551	2734	2219
552	2738	2213
553	2742	2208
554	2748	2203
555	2752	2198
556	2756	2192
557	2761	2187
558	2766	2182
559	2770	2177
560	2775	2171
561	2780	2166
562	2785	2161
563	2789	2156
564	2793	2150
565	2798	2145
566	2802	2139
567	2806	2134
568	2811	2129
569	2815	2124
570	2820	2119
571	2825	2114
572	2830	2109
573	2835	2104
574	2843	2101
575	2849	2097
576	2854	2092
577	2859	2087
578	2863	2082
579	2868	2076
580	2872	2071
581	2877	2066
582	2882	2061
583	2886	2055
584	2890	2050
585	2894	2045
586	2898	2039
587	2902	2033
588	2907	2028
589	2911	2023
590	2915	2017
591	2920	2012
592	2924	2007
593	2928	2001
594	2933	1996
595	2938	1991
596	2942	1986
597	2946	1980
598	2950	1974
599	2954	1969
600	2959	1964
601	2963	1959
602	2968	1954
603	2972	1948
604	2976	1943
605	2980	1937
606	2985	1933
607	2989	1927
608	2994	1922
609	2998	1917
610	3003	1911
611	3007	1906
612	3011	1901
613	3015	1895
614	3020	1890
615	3025	1885
616	3029	1880
617	3033	1875
618	3038	1869
619	3042	1864
620	3046	1859
621	3051	1854
622	3055	1849
623	3059	1843
624	3063	1838
625	3068	1832
626	3072	1827
627	3075	1821
628	3079	1816
629	3084	1811
630	3088	1806
631	3092	1800
632	3096	1795
633	3100	1790
634	3105	1784
635	3108	1779
636	3113	1774
637	3119	1769
638	3126	1766
639	3131	1761
640	3139	1758
641	3146	1754
642	3154	1751
643	3161	1747
644	3167	1743
645	3173	1738
646	3178	1734
647	3182	1728
648	3187	1723
649	3192	1718
650	3196	1713
651	3201	1708
652	3205	1703
653	3209	1697
654	3213	1692
655	3217	1687
656	3221	1681
657	3226	1676
658	3230	1671
659	3233	1665
660	3237	1660
661	3242	1655
662	3246	1650
663	3251	1645
664	3256	1640
665	3260	1634
666	3264	1629
667	3267	1624
668	3271	1618
669	3275	1613
670	3278	1607
671	3282	1602
672	3286	1596
673	3290	1591
674	3294	1586
675	3298	1580
676	3302	1575
677	3305	1570
678	3309	1564
679	3313	1559
680	3317	1553
681	3321	1548
682	3324	1543
683	3329	1538
684	3333	1532
685	3337	1527
686	3341	1522
687	3345	1517
688	3349	1512
689	3353	1506
690	3357	1501
691	3361	1496
692	3365	1490
693	3369	1485
694	3372	1480
695	3377	1475
696	3381	1469
697	3385	1464
698	3389	1459
699	3393	1454
700	3397	1449
701	3401	1443
702	3405	1438
703	3410	1433
704	3413	1428
705	3417	1423
706	3421	1418
707	3425	1412
708	3429	1407
709	3434	1402
710	3438	1397
711	3443	1392
712	3447	1387
713	3452	1382
714	3457	1378
715	3462	1373
716	3466	1368
717	3470	1363
718	3474	1358
719	3478	1352
720	3482	1347
721	3486	1342
722	3490	1337
723	3494	1332
724	3498	1327
725	3502	1322
726	3507	1316
727	3510	1311
728	3514	1306
729	3518	1301
730	3523	1296
731	3527	1291
732	3531	1286
733	3535	1281
734	3539	1276
735	3543	1271
736	3547	1265
737	3551	1260
738	3555	1255
739	3559	1250
740	3563	1245
741	3567	1240
742	3571	1235
743	3575	1230
744	3579	1225
745	3582	1219
746	3587	1214
747	3591	1209
748	3595	1204
749	3598	1199
750	3603	1194
751	3606	1189
752	3611	1184
753	3615	1179
754	3619	1174
755	3623	1169
756	3628	1164
757	3633	1159
758	3637	1154
759	3640	1149
760	3644	1144
761	3649	1139
762	3653	1134
763	3662	1131
764	3667	1126
765	3671	1121
766	3676	1116
767	3681	1112
768	3686	1107
769	3690	1102
770	3695	1097
771	3700	1092
772	3704	1087
773	3708	1082
774	3713	1078
775	3717	1073
776	3721	1068
777	3725	1063
778	3729	1058
779	3733	1053
780	3737	1048
781	3741	1043
782	3746	1038
783	3750	1033
784	3754	1028
785	3759	1023
786	3764	1018
787	3768	1013
788	3772	1008
789	3777	1004
790	3781	999
791	3785	994
792	3789	989
793	3793	984
794	3798	979
795	3802	974
796	3807	969
797	3811	964
798	3816	960
799	3820	955
800	3825	950
801	3829	945
802	3833	940
803	3838	935
804	3844	931
805	3849	926
806	3852	921
807	3857	916
808	3862	911
809	3866	906
810	3870	902
811	3875	897
812	3879	892
813	3883	887
814	3887	882
815	3891	877
816	3895	872
817	3899	867
818	3903	862
819	3907	857
820	3911	852
821	3915	847
822	3919	843
823	3924	838
824	3928	833
825	3932	828
826	3937	823
827	3941	818
828	3945	813
829	3949	808
830	3953	804
831	3958	799
832	3962	794
833	3967	789
834	3971	784
835	3975	779
836	3980	775
837	3984	770
838	3988	765
839	3992	760
840	3996	755
841	4000	750
842	4004	745
843	4008	740
844	4012	735
845	4017	731
846	4021	726
847	4025	721
848	4028	716
849	4034	711
850	4039	707
851	4044	702
852	4049	697
853	4054	693
854	4059	688
855	4064	683
856	4069	678
857	4073	674
858	4077	669
859	4081	664
860	4085	659
861	4089	654
862	4093	649
863	4098	645
864	4102	640
865	4105	635
866	4109	630
867	4114	625
868	4118	620
869	4122	615
870	4126	611
871	4130	606
872	4134	601
873	4138	596
874	4143	591
875	4147	587
876	4151	582
877	4155	577
878	4159	572
879	4163	567
880	4167	562
881	4171	558
882	4176	553
883	4180	548
884	4184	543
885	4189	539
886	4193	534
887	4197	529
888	4202	524
889	4206	519
890	4210	515
891	4214	510
892	4219	505
893	4224	500
894	4228	496
895	4233	491
896	4237	486
897	4241	481
898	4245	476
899	4255	472
900	4264	468
901	4269	463
902	4276	459
903	4281	454
904	4286	449
905	4291	445
906	4296	440
907	4300	435
908	4305	431
909	4310	426
910	4314	421
911	4319	416
912	4323	411
913	4327	407
914	4331	402
915	4336	397
916	4340	392
917	4344	388
918	4348	383
919	4353	378
920	4358	373
921	4362	369
922	4366	364
923	4370	359
924	4374	354
925	4378	349
926	4383	345
927	4387	340
928	4392	335
929	4396	330
930	4400	326
931	4404	321
932	4408	316
933	4413	311
934	4420	307
935	4426	302
936	4432	298
937	4440	293
938	4447	288
939	4453	284
940	4460	279
941	4472	275
942	4478	270
943	4483	265
944	4488	261
945	4492	256
946	4496	251
947	4500	246
948	4504	242
949	4509	237
950	4513	232
951	4517	227
952	4522	223
953	4526	218
954	4530	213
955	4534	208
956	4539	203
957	4543	199
958	4546	194
959	4550	189
960	4555	184
961	4558	180
962	4562	175
963	4566	170
964	4571	165
965	4575	161
966	4579	156
967	4584	151
968	4588	146
969	4592	142
970	4596	137
971	4600	132
972	4605	127
973	4608	123
974	4612	118
975	4616	113
976	4620	108
977	4624	104
978	4628	99
979	4634	94
980	4639	89
981	4643	85
982	4649	80
983	4654	75
984	4658	70
985	4664	66
986	4668	61
987	4672	56
988	4676	52
989	4680	47
990	4684	42
991	4688	37
992	4692	33
993	4696	28
994	4699	23
995	4703	18
996	4707	14
997	4711	9
998	4715	4
999	4719	0
